Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
2.762 5.87 5.28 -4.20 11.62 16.65 36.70 14.91 19.01 11.07 -7.82 17.83 32.84 15.08 10.63
2.776 5.58 5.08 -3.06 10.72 15.17 32.72 13.70 17.30 13.38 -2.91 19.50 32.58 17.29 13.47
2.791 4.99 4.61 -2.73 9.80 13.99 30.04 12.63 15.87 14.00 -0.84 19.61 31.44 17.49 14.03
2.806 3.50 3.24 -1.85 6.73 9.66 20.85 8.69 10.80 10.56 0.22 14.47 22.63 12.92 10.65
2.820 1.48 1.21 -2.82 3.64 5.67 14.20 4.75 6.08 5.31 -2.78 8.25 14.64 7.01 5.41
2.835 -0.96 -1.18 -3.86 0.45 1.70 7.40 1.03 1.84 0.31 -5.21 2.29 6.70 1.45 0.39
2.849 -1.35 -1.42 -2.51 -0.41 0.30 2.85 0.03 0.62 -0.03 -2.47 1.26 3.17 0.77 0.32
2.858 1.47 1.66 1.65 2.19 2.61 2.77 2.71 3.17 2.32 2.17 3.15 3.12 2.85 2.90
2.866 4.65 5.00 5.91 4.92 4.97 3.02 5.40 5.54 5.30 7.12 5.41 3.97 5.57 6.13
2.874 3.13 3.29 4.54 2.41 1.99 -1.21 2.10 1.67 3.57 6.23 2.77 0.81 3.21 3.97
2.883 -0.37 -0.53 0.78 -1.96 -2.67 -6.37 -2.91 -3.68 -2.69 0.15 -4.13 -6.27 -3.58 -2.91
2.891 -0.59 -0.76 0.86 -2.11 -2.85 -6.62 -2.67 -3.36 -2.96 0.34 -4.40 -6.83 -3.61 -3.06
2.899 -1.56 -1.56 -0.00 -2.91 -4.07 -7.63 -3.95 -4.93 -1.27 1.99 -2.87 -5.51 -2.44 -2.13
2.908 -5.40 -5.37 -4.22 -7.06 -8.91 -12.50 -9.62 -11.16 -6.95 -4.15 -9.05 -11.69 -9.08 -8.76
2.916 -7.36 -7.29 -6.30 -8.68 -10.47 -13.75 -11.07 -12.34 -12.96 -10.46 -14.66 -16.87 -14.36 -13.72
2.924 -4.42 -4.18 -3.04 -4.49 -5.29 -7.54 -4.56 -4.66 -9.69 -7.25 -10.07 -11.67 -9.24 -8.48
2.933 2.11 2.39 3.58 2.76 2.91 1.56 4.43 5.06 0.66 2.91 0.99 -0.34 1.62 2.07
2.941 6.37 6.44 7.10 6.40 6.59 5.62 7.29 7.49 7.46 8.86 7.29 6.06 7.08 7.11
2.949 6.30 6.14 6.24 5.66 5.60 4.98 5.42 5.18 6.92 7.43 6.35 5.57 5.99 5.98
2.958 3.09 3.00 3.16 3.03 3.21 3.14 3.38 3.48 5.16 5.37 5.05 4.94 5.22 5.42
2.966 -3.39 -3.36 -3.03 -2.76 -2.34 -1.90 -1.80 -1.48 2.13 2.18 2.56 2.89 2.80 3.01
2.974 -5.67 -5.73 -5.55 -5.28 -4.96 -4.25 -4.81 -4.76 -3.48 -3.75 -2.97 -2.47 -2.94 -2.85
2.983 -1.44 -1.54 -1.64 -1.50 -1.34 -0.60 -1.61 -1.81 -4.56 -5.24 -4.47 -3.99 -4.58 -4.67
2.991 -0.11 -0.13 -0.55 -0.32 -0.22 0.49 -0.64 -0.76 -1.85 -2.86 -2.07 -1.60 -2.23 -2.44
2.999 -1.79 -1.79 -2.42 -1.91 -1.78 -0.86 -2.20 -2.08 -1.57 -2.81 -1.70 -1.02 -1.83 -2.08
3.008 -1.40 -1.41 -2.15 -1.40 -1.26 -0.04 -1.73 -1.51 -1.60 -3.08 -1.56 -0.64 -1.75 -2.13
3.016 -0.06 -0.03 -0.87 -0.01 0.17 1.48 -0.22 0.04 -0.90 -2.41 -0.80 0.24 -0.96 -1.34
3.024 0.77 0.98 0.23 1.23 1.63 2.81 1.82 2.27 0.17 -0.96 0.41 1.36 0.31 0.11
3.033 2.66 3.00 2.48 3.53 4.00 5.01 4.64 5.14 3.84 3.35 4.60 5.37 4.62 4.58
3.041 6.17 6.31 5.90 6.58 6.68 7.28 6.76 6.75 6.68 6.56 7.61 8.25 7.78 7.82
3.049 5.87 5.73 5.46 5.69 5.39 5.46 4.84 4.31 5.17 4.93 5.50 5.90 5.55 5.60
3.058 0.10 -0.11 0.10 0.27 0.05 0.05 -0.05 -0.28 1.70 1.44 1.87 2.01 1.92 2.04
