Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
2.762 86277.91 75996.42 78178.96 92097.64 84829.99 65318.37 46731.82 50459.67 58901.81 58478.35 3771.30 761.64 178.01 1908.79
2.776 86279.70 75997.63 78180.41 92098.51 84830.77 65318.77 46732.38 50460.38 58911.20 58489.42 3782.72 772.97 190.71 1923.12
2.791 86272.66 75990.92 78173.53 92091.00 84823.15 65309.99 46723.86 50451.11 58902.01 58480.01 3772.30 761.70 179.04 1911.05
2.806 86278.52 75996.89 78179.76 92097.14 84829.18 65315.71 46730.57 50457.79 58896.40 58474.20 3766.13 755.60 172.91 1905.13
2.820 86275.61 75993.54 78176.70 92093.84 84825.61 65311.15 46726.32 50453.36 58909.92 58489.17 3781.16 770.91 189.30 1921.96
2.835 86265.62 75983.95 78167.02 92083.55 84814.95 65299.95 46715.24 50442.01 58879.93 58458.55 3749.59 738.55 156.19 1888.68
2.849 86282.23 76000.89 78185.89 92102.20 84835.11 65317.65 46736.85 50465.21 58913.39 58495.14 3784.15 770.82 191.47 1923.97
2.858 86280.77 75999.69 78184.01 92099.25 84830.82 65312.53 46731.57 50458.39 58909.01 58491.03 3779.90 767.11 187.93 1921.53
2.866 86280.04 75998.70 78183.30 92098.42 84830.35 65311.62 46731.28 50458.26 58896.89 58478.73 3765.78 752.69 173.16 1906.27
2.874 86274.02 75992.31 78177.24 92091.49 84823.44 65303.88 46723.28 50449.88 58909.99 58492.17 3779.19 766.46 187.49 1920.48
2.883 86272.75 75990.75 78175.38 92089.54 84820.85 65300.93 46720.71 50446.88 58883.77 58466.06 3752.34 738.90 160.15 1893.26
2.891 86276.55 75995.28 78180.66 92094.82 84826.79 65307.35 46728.04 50454.73 58905.63 58488.79 3775.10 761.64 183.51 1916.22
2.899 86271.50 75990.52 78176.39 92090.22 84821.12 65300.84 46721.56 50447.57 58902.14 58485.49 3770.14 755.78 177.85 1910.83
2.908 86259.14 75977.25 78161.17 92073.61 84802.27 65279.68 46698.45 50421.51 58874.92 58457.25 3741.06 726.16 146.67 1879.49
2.916 86269.02 75988.15 78174.87 92089.21 84821.56 65301.31 46724.56 50452.60 58877.45 58462.11 3747.96 734.61 159.50 1894.74
2.924 86279.99 75999.55 78186.67 92100.45 84833.32 65312.53 46736.47 50464.00 58913.45 58498.63 3783.30 768.32 190.75 1923.50
2.933 86274.72 75993.27 78179.41 92092.09 84823.66 65301.60 46723.59 50449.30 58902.10 58486.78 3770.31 754.71 177.99 1911.68
2.941 86282.76 76001.14 78187.32 92099.13 84830.75 65308.31 46730.48 50455.58 58892.71 58476.99 3759.81 744.45 167.41 1901.06
2.949 86276.66 75995.95 78183.21 92095.51 84827.33 65305.20 46728.71 50454.59 58913.59 58498.70 3781.51 765.90 189.99 1923.93
2.958 86262.69 75981.18 78168.54 92080.20 84812.00 65289.02 46712.69 50438.68 58887.97 58473.91 3756.57 741.32 165.83 1900.41
2.966 86266.40 75985.60 78173.68 92084.96 84816.89 65293.89 46718.21 50442.93 58887.79 58473.46 3755.29 739.33 163.15 1897.39
2.974 86261.24 75979.97 78167.63 92078.19 84809.38 65286.14 46709.47 50434.45 58888.82 58474.73 3756.55 740.27 165.18 1899.36
2.983 86283.68 76002.26 78189.82 92099.71 84830.82 65306.61 46730.55 50454.62 58887.08 58473.01 3753.48 736.87 162.01 1896.23
2.991 86261.22 75980.58 78168.25 92078.66 84810.19 65285.65 46710.99 50435.95 58892.38 58478.18 3758.45 741.45 166.65 1901.08
2.999 86261.24 75979.97 78167.63 92078.19 84809.38 65286.14 46709.47 50434.45 58888.82 58474.73 3756.55 740.27 165.18 1899.36
3.008 86283.68 76002.26 78189.82 92099.71 84830.82 65306.61 46730.55 50454.62 58887.08 58473.01 3753.48 736.87 162.01 1896.23
3.016 86261.22 75980.58 78168.25 92078.66 84810.19 65285.65 46710.99 50435.95 58892.38 58478.18 3758.45 741.45 166.65 1901.08
3.024 86271.72 75990.86 78179.00 92089.48 84821.50 65297.43 46723.44 50448.42 58893.47 58481.24 3761.71 744.80 170.70 1905.73
3.033 86279.43 75998.52 78186.83 92096.90 84828.16 65303.30 46729.21 50453.74 58895.95 58483.45 3763.39 746.03 172.29 1907.03
3.041 86282.49 76000.85 78189.02 92097.88 84828.40 65302.32 46727.15 50449.85 58902.90 58490.51 3769.82 752.02 178.19 1912.93
3.049 86262.04 75980.69 78169.30 92078.55 84809.60 65283.92 46710.30 50434.32 58887.01 58474.29 3753.26 735.80 162.83 1898.33
3.058 86269.53 75987.93 78177.71 92087.18 84818.46 65292.82 46719.84 50444.38 58887.08 58474.82 3753.57 734.46 160.98 1895.54
3.066 86265.64 75984.38 78174.42 92083.20 84815.10 65289.53 46717.05 50441.99 58893.07 58482.09 3761.51 743.46 171.97 1907.41
3.074 86263.90 75982.16 78170.85 92078.79 84809.45 65282.23 46708.06 50431.06 58882.12 58469.73 3745.95 726.03 152.28 1886.29
3.083 86272.55 75991.37 78180.57 92088.78 84820.69 65293.96 46721.54 50445.96 58888.00 58476.99 3754.31 735.48 163.44 1898.71
3.091 86276.97 75995.80 78184.28 92092.65 84823.84 65297.22 46724.44 50448.58 58895.01 58484.55 3761.33 742.30 170.83 1906.63
3.099 86260.86 75978.85 78167.98 92075.71 84806.63 65279.23 46707.19 50430.65 58886.18 58475.58 3751.16 731.33 159.23 1894.24
3.108 86269.15 75987.82 78177.22 92084.99 84816.26 65288.60 46717.40 50442.10 58883.28 58473.17 3749.44 729.92 160.06 1895.90
3.116 86278.54 75997.81 78186.96 92094.15 84824.94 65296.82 46725.16 50448.33 58892.67 58483.09 3758.18 738.03 166.86 1902.83
3.124 86280.19 75998.73 78187.36 92094.46 84824.85 65295.79 46724.27 50446.70 58896.56 58486.87 3760.93 740.47 169.78 1905.91
3.133 86253.66 75972.53 78162.75 92069.52 84801.18 65273.20 46703.17 50427.73 58881.60 58472.81 3747.81 727.77 157.83 1893.66
3.141 86280.10 75999.46 78190.29 92097.35 84828.94 65300.98 46730.79 50454.75 58889.58 58480.19 3754.36 732.71 163.08 1898.20
3.149 86288.17 76007.40 78199.23 92104.90 84836.25 65306.30 46737.79 50461.70 58898.08 58490.78 3763.65 742.39 175.46 1913.13
3.158 86251.85 75970.58 78162.96 92068.94 84800.93 65270.98 46703.17 50428.22 58894.61 58488.01 3759.38 736.18 167.41 1903.14
3.166 86269.66 75988.67 78180.59 92085.54 84816.91 65286.03 46718.21 50441.90 58877.71 58471.72 3743.18 720.60 153.29 1890.02
3.174 86275.50 75994.01 78185.53 92089.66 84820.04 65288.80 46720.13 50443.22 58896.49 58490.07 3760.64 737.27 170.23 1906.54
3.183 86268.66 75987.08 78178.20 92082.01 84812.17 65280.82 46712.58 50435.68 58880.49 58473.71 3743.45 720.37 153.00 1890.13
3.191 86264.93 75983.91 78176.37 92080.36 84811.10 65280.24 46712.82 50435.95 58890.25 58484.30 3753.77 730.21 163.41 1900.41
3.199 86261.31 75980.33 78172.97 92076.98 84808.29 65277.67 46711.01 50435.08 58886.23 58480.30 3749.21 725.45 158.27 1894.94
3.208 86271.05 75989.81 78181.48 92084.74 84814.79 65283.48 46716.04 50438.66 58878.76 58473.46 3741.64 717.69 151.14 1887.69
3.216 86280.01 75998.95 78191.01 92093.39 84823.91 65292.11 46724.60 50447.24 58895.48 58490.29 3758.38 733.76 167.73 1904.44
3.224 86257.24 75976.08 78168.57 92071.66 84802.43 65270.78 46704.51 50427.88 58879.26 58474.15 3741.79 716.82 150.38 1887.09
3.233 86280.39 75999.42 78191.68 92094.42 84825.16 65293.29 46726.70 50449.41 58883.86 58480.66 3748.50 723.73 159.03 1896.59
3.241 86261.64 75980.17 78173.59 92075.91 84807.32 65275.57 46710.23 50434.10 58893.85 58489.44 3755.67 730.10 165.05 1901.53
3.249 86261.91 75980.98 78173.82 92074.93 84805.25 65272.32 46705.94 50427.68 58877.76 58474.62 3741.35 715.73 150.43 1887.58
3.258 86266.62 75984.96 78177.44 92078.86 84808.62 65275.19 46708.69 50430.01 58882.16 58477.71 3742.49 715.68 149.67 1886.11
3.266 86276.44 75995.17 78188.77 92090.62 84822.03 65288.78 46724.71 50448.83 58872.77 58470.89 3737.66 713.18 150.99 1890.33
3.274 86274.07 75993.94 78188.37 92090.37 84821.70 65288.62 46724.71 50449.09 58912.94 58510.23 3774.63 747.00 182.14 1918.11
3.282 86259.79 75978.45 78171.61 92072.36 84802.63 65267.88 46702.96 50425.45 58877.65 58475.00 3739.58 712.46 148.55 1885.62
3.291 86260.66 75980.08 78173.71 92073.99 84804.51 65269.71 46705.31 50427.75 58866.05 58464.03 3727.73 700.91 137.37 1874.69
3.299 86274.07 75993.94 78188.37 92090.37 84821.70 65288.62 46724.71 50449.09 58912.94 58510.23 3774.63 747.00 182.14 1918.11
3.307 86259.79 75978.45 78171.61 92072.36 84802.63 65267.88 46702.96 50425.45 58877.65 58475.00 3739.58 712.46 148.55 1885.62
3.316 86260.66 75980.08 78173.71 92073.99 84804.51 65269.71 46705.31 50427.75 58866.05 58464.03 3727.73 700.91 137.37 1874.69
3.324 86274.00 75992.91 78187.16 92087.62 84818.37 65284.10 46720.29 50443.91 58885.54 58483.70 3746.85 718.72 154.94 1891.90
3.332 86272.28 75991.13 78185.17 92084.81 84815.12 65280.21 46716.08 50438.45 58892.42 58491.59 3754.22 726.68 163.86 1901.51
3.341 86283.90 76002.14 78196.66 92095.74 84825.83 65290.88 46727.24 50449.59 58896.89 58495.74 3758.31 730.39 167.57 1905.06
3.349 86259.38 75977.92 78173.28 92072.58 84803.55 65268.61 46706.32 50429.63 58887.30 58487.16 3749.68 722.16 160.02 1897.84
3.357 86274.74 75993.94 78188.53 92087.60 84817.85 65282.16 46719.55 50441.72 58868.59 58468.50 3729.66 701.24 139.34 1876.97
3.366 86273.62 75992.35 78187.30 92085.97 84816.26 65279.95 46717.87 50440.42 58899.46 58500.42 3761.55 732.98 171.57 1909.78
3.374 86256.48 75975.52 78171.02 92069.32 84799.39 65262.87 46701.40 50423.61 58875.48 58475.74 3736.23 707.34 146.23 1883.81
3.382 86267.27 75986.57 78182.04 92081.01 84810.52 65273.55 46712.84 50434.86 58877.15 58477.53 3737.39 707.84 146.27 1883.54
3.391 86256.79 75974.38 78168.43 92065.54 84793.53 65254.13 46691.72 50412.08 58872.48 58473.33 3732.99 703.99 143.61 1881.55
3.399 86274.98 75994.48 78191.23 92090.37 84821.81 65285.27 46727.19 50452.16 58874.18 58475.61 3734.80 705.53 145.64 1883.87
3.407 86270.54 75989.49 78185.71 92083.51 84814.01 65275.97 46716.84 50438.90 58904.31 58506.67 3765.60 735.26 175.39 1913.00
3.416 86270.72 75989.32 78185.35 92082.01 84811.91 65272.73 46713.27 50435.06 58875.81 58477.89 3735.65 705.76 145.91 1884.10
3.424 86278.52 75997.74 78194.34 92091.53 84821.41 65282.29 46723.66 50445.63 58894.72 58497.11 3754.69 724.06 164.29 1902.02
3.432 86267.85 75986.28 78182.49 92078.93 84807.93 65267.81 46709.07 50430.52 58883.86 58487.16 3744.57 713.53 154.65 1892.84
3.441 86271.25 75990.34 78187.10 92083.67 84813.05 65272.86 46715.01 50436.87 58880.69 58484.12 3740.16 709.00 150.27 1888.23
3.449 86267.92 75987.21 78186.51 92080.98 84809.96 65265.66 46711.99 50434.28 58878.18 58484.61 3739.04 707.39 152.06 1890.98
3.457 86254.44 75973.94 78173.17 92066.79 84794.90 65249.84 46696.17 50417.94 58870.78 58477.10 3729.46 696.95 140.64 1878.75
3.466 86273.60 75993.96 78194.14 92088.49 84817.40 65271.99 46720.00 50442.77 58883.35 58490.18 3742.80 708.97 152.84 1889.93
3.474 86282.16 76000.87 78200.98 92094.22 84822.14 65274.47 46721.94 50443.86 58896.35 58503.19 3754.74 721.36 166.12 1903.63
3.482 86269.08 75988.00 78188.08 92081.34 84807.93 65259.99 46707.86 50428.60 58882.25 58489.35 3740.86 707.46 152.13 1889.97
3.491 86280.33 75999.53 78200.98 92093.77 84822.10 65273.87 46723.30 50445.45 58886.36 58494.31 3744.72 710.65 156.02 1894.22
3.499 86250.33 75969.53 78170.55 92062.52 84790.63 65241.97 46691.32 50413.40 58883.90 58491.65 3741.41 707.52 152.73 1890.69
3.507 86275.63 75994.79 78195.28 92086.97 84813.65 65265.17 46713.98 50434.77 58867.16 58475.47 3725.92 691.70 138.38 1876.74
