Time,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,label
10.624,15.31,15.5,14.99,14.61,14.12,13.79,13.4,12.56,fist
10.635,-0.34,-0.16,-0.19,-0.31,-0.43,-0.58,-0.39,-0.64,fist
10.645,-21.97,-22.04,-21.55,-21.35,-21.02,-20.64,-19.95,-19.35,fist
10.655,-42.44,-43.0,-41.93,-41.43,-40.66,-39.69,-38.59,-36.87,fist
10.665,-43.7,-44.73,-43.28,-42.66,-41.72,-40.51,-39.18,-36.67,fist
10.675,-34.61,-35.95,-34.24,-33.63,-32.74,-31.8,-30.33,-27.43,fist
10.685,-49.52,-51.26,-48.63,-47.68,-46.34,-45.43,-43.36,-39.12,fist
10.695,-51.82,-53.73,-50.74,-49.59,-48.12,-47.18,-44.88,-40.15,fist
10.705,-1.07,-1.73,-0.37,0.23,0.82,1.16,2.9,4.44,fist
10.715,61.72,64.19,63.63,63.89,64.44,64.76,67.07,64.45,fist
10.725,74.94,80.45,79.68,80.56,82.7,84.31,88.58,85.23,fist
10.735,29.26,35.38,35.18,36.49,39.69,42.22,47.53,45.61,fist
10.745,-1.95,2.24,1.01,1.03,2.55,3.9,7.5,4.6,fist
10.755,21.13,22.33,19.1,17.11,15.41,14.36,14.39,8.83,fist
10.765,53.75,52.39,49.08,46.69,43.38,40.91,37.87,32.69,fist
10.775,62.67,59.74,58.38,57.34,54.76,52.39,47.25,46.14,fist
10.784,23.67,20.7,21.6,22.36,21.74,20.56,14.86,18.44,fist
10.794,-28.47,-31.81,-30.46,-29.42,-29.64,-30.53,-37.24,-31.86,fist
10.804,-33.84,-40.46,-41.53,-42.69,-46.3,-49.83,-61.73,-58.59,fist
10.814,-33.51,-42.2,-45.32,-48.36,-55.0,-60.57,-75.83,-75.75,fist
10.824000000000002,-46.18,-51.53,-53.87,-56.31,-61.47,-65.25,-74.7,-75.84,fist
10.834000000000001,-36.46,-35.95,-36.4,-37.17,-38.68,-39.2,-38.34,-39.67,fist
10.844000000000001,-12.71,-8.38,-7.33,-6.75,-5.35,-3.62,4.11,3.55,fist
10.855,-2.19,2.21,4.25,5.48,8.22,10.73,19.57,21.05,fist
10.865,-10.6,-7.54,-5.14,-3.83,-1.05,1.24,8.64,11.45,fist
10.876,0.51,2.65,4.19,4.87,6.38,7.49,12.98,14.51,fist
10.886,12.79,14.16,14.14,13.95,13.74,13.5,16.46,15.67,fist
10.897,-21.65,-19.92,-19.86,-19.53,-18.8,-18.08,-15.06,-15.91,fist
10.908,-39.42,-36.73,-35.35,-33.73,-30.35,-27.43,-22.4,-21.78,fist
10.918,-5.93,-2.65,-0.76,1.38,5.84,9.68,15.0,15.23,fist
10.929,42.94,46.25,48.07,50.22,55.22,59.3,64.81,63.43,fist
10.94,83.61,85.09,86.31,87.7,92.62,95.99,101.26,99.19,fist
10.950999999999999,68.75,67.81,67.73,67.78,70.61,72.1,74.59,72.4,fist
10.960999999999999,2.96,1.44,0.56,-0.04,0.52,0.7,0.05,-1.9,fist
10.972000000000001,-42.18,-42.57,-43.31,-43.63,-43.99,-43.85,-46.0,-47.58,fist
10.982999999999999,-30.7,-29.43,-29.56,-29.19,-28.97,-28.03,-29.5,-31.4,fist
10.993,20.85,22.28,22.48,23.05,24.04,25.26,25.16,23.0,fist
11.004000000000001,57.69,57.13,56.68,56.36,56.35,56.14,55.4,53.65,fist
11.014000000000001,34.47,31.53,29.94,28.35,25.74,23.19,19.64,18.95,fist
11.025,-34.29,-38.55,-40.94,-43.39,-49.46,-54.45,-62.21,-60.74,fist
11.035,-86.1,-89.84,-92.24,-94.63,-103.01,-109.2,-119.84,-116.55,fist
11.045,-78.95,-81.72,-83.44,-85.23,-93.93,-100.24,-111.21,-106.53,fist
11.056,-37.63,-41.76,-43.55,-45.71,-56.24,-64.55,-77.36,-70.4,fist
11.065999999999999,3.65,-2.6,-4.88,-7.79,-19.17,-28.88,-42.14,-34.21,fist
11.077,36.24,31.55,30.91,29.41,25.12,20.58,16.08,21.71,fist
11.087,40.5,41.68,44.08,45.85,52.88,57.8,66.85,67.14,fist
11.097999999999999,-7.25,-1.03,2.84,6.68,19.82,30.51,46.71,41.98,fist
11.107999999999999,-60.33,-54.19,-51.0,-47.62,-35.81,-25.95,-11.54,-16.28,fist
11.118,-35.28,-31.38,-29.84,-28.03,-20.38,-13.97,-4.52,-7.72,fist
11.129000000000001,24.95,28.01,28.59,29.46,34.44,38.47,44.78,41.71,fist
11.139000000000001,42.19,45.03,45.79,46.55,50.27,52.95,57.55,55.68,fist
11.15,50.0,52.26,53.19,54.08,56.59,58.52,61.46,60.08,fist
11.16,50.87,52.16,53.16,54.12,55.75,57.37,59.18,57.83,fist
11.17,32.37,32.62,33.27,33.91,34.17,34.61,34.84,34.23,fist
11.181,43.68,43.12,42.26,41.81,39.21,37.08,34.04,32.23,fist
11.190999999999999,73.62,72.16,69.49,67.77,62.07,57.38,50.96,47.24,fist
11.202,52.16,49.76,46.57,44.25,37.38,31.72,23.97,20.4,fist
11.212,-60.29,-62.36,-63.9,-65.37,-69.92,-73.82,-79.11,-79.32,fist
11.222000000000001,-157.71,-158.33,-157.57,-157.38,-158.24,-159.03,-160.17,-155.85,fist
11.232000000000001,-102.71,-102.82,-101.82,-101.28,-101.58,-101.67,-102.17,-97.54,fist
11.242,-10.4,-11.21,-11.24,-11.54,-13.32,-14.6,-16.72,-14.3,fist
11.252,-11.92,-13.79,-14.06,-14.84,-16.4,-17.81,-19.73,-17.42,fist
11.262,-29.06,-31.74,-32.05,-33.02,-33.6,-34.46,-35.28,-32.83,fist
11.273,-10.93,-12.93,-13.33,-14.14,-13.98,-14.04,-13.76,-12.38,fist
11.284,15.83,16.15,16.25,16.37,17.45,18.71,19.99,19.37,fist
11.295,36.37,39.23,39.71,40.81,42.41,44.8,46.57,43.34,fist
11.307,46.8,50.66,51.11,52.56,55.12,58.53,61.65,58.2,fist
11.318,50.62,52.99,53.49,54.54,58.45,62.22,66.95,66.5,fist
11.329,37.34,37.38,37.78,38.08,41.76,44.49,48.88,51.14,fist
11.34,12.04,11.34,11.55,11.57,13.66,15.07,17.66,19.8,fist
11.35,1.64,2.28,2.41,2.8,3.27,4.03,4.73,4.03,fist
11.360999999999999,8.22,10.99,11.14,12.18,12.26,13.45,13.74,10.18,fist
11.370999999999999,18.63,21.68,21.93,23.1,24.08,25.87,27.14,23.93,fist
11.382,20.35,21.06,21.23,21.58,22.99,24.03,25.61,25.49,fist
11.392000000000001,-0.4,-2.67,-2.61,-3.26,-2.68,-3.45,-3.08,-0.06,fist
11.402999999999999,-28.93,-33.14,-33.31,-34.71,-36.7,-40.15,-43.05,-39.56,fist
11.413,-42.08,-45.73,-46.21,-47.68,-52.56,-58.05,-64.45,-63.71,fist
11.424000000000001,-44.96,-47.18,-47.44,-48.4,-54.14,-59.99,-67.62,-69.0,fist
11.434000000000001,-35.38,-39.06,-39.66,-41.35,-48.22,-55.83,-65.06,-65.67,fist
11.445,-36.94,-42.14,-42.69,-44.97,-51.59,-59.91,-68.97,-67.01,fist
11.455,-66.38,-68.51,-67.07,-67.33,-68.42,-71.32,-73.75,-69.46,fist
11.466,-40.53,-37.82,-36.08,-34.65,-30.73,-27.08,-22.3,-19.45,fist
11.475999999999999,38.31,42.23,41.2,41.58,45.28,50.47,56.93,56.37,fist
11.485999999999999,62.74,63.94,60.6,59.07,60.13,62.91,66.97,64.98,fist
11.497,44.93,44.63,41.6,39.91,39.65,40.72,42.55,39.47,fist
11.507,24.46,26.56,26.41,27.14,28.85,31.83,34.56,30.16,fist
11.517999999999999,17.8,22.46,24.71,27.93,31.9,37.63,42.25,38.04,fist
11.527999999999999,63.68,68.75,70.8,74.39,78.49,84.95,90.12,87.22,fist
11.538,99.34,103.74,105.09,107.8,111.34,116.56,120.76,119.01,fist
11.548,48.65,51.19,52.45,54.13,57.25,60.4,63.01,62.77,fist
11.558,-53.01,-53.23,-51.56,-50.39,-46.47,-44.09,-41.17,-37.83,fist
11.568,-120.72,-122.76,-120.75,-119.66,-115.3,-112.98,-109.37,-103.17,fist
11.578,-87.04,-88.81,-87.73,-87.12,-85.54,-84.74,-83.27,-78.9,fist
11.588,6.84,6.5,6.0,5.63,2.85,0.82,-1.76,-1.85,fist
11.599,65.04,64.83,62.88,61.01,54.97,49.79,43.57,40.46,fist
11.609000000000002,33.17,31.36,28.87,25.73,19.25,12.21,4.79,2.42,fist
11.619000000000002,-81.51,-85.8,-87.59,-91.2,-95.99,-103.39,-109.7,-108.12,fist
11.629000000000001,-119.07,-125.86,-128.27,-132.71,-137.49,-145.3,-151.07,-147.57,fist
11.639000000000001,6.64,0.55,-3.08,-7.47,-12.75,-19.4,-24.77,-24.51,fist
11.649000000000001,83.23,81.54,80.05,78.82,77.22,75.75,74.27,72.53,fist
11.659,17.58,19.5,21.27,23.44,26.6,30.49,34.08,34.78,fist
11.669,-6.13,-3.61,-1.64,0.63,3.44,7.46,10.84,11.14,fist
11.679,50.26,52.4,53.33,54.44,54.76,56.33,56.55,53.33,fist
11.689,49.77,52.32,53.89,55.44,56.69,58.41,58.87,56.11,fist
11.699000000000002,-23.61,-20.74,-18.16,-15.81,-12.43,-9.35,-6.84,-6.45,fist
11.71,-45.98,-43.71,-41.77,-39.74,-36.75,-33.81,-31.27,-30.72,fist
11.722000000000001,13.34,15.05,15.83,17.24,18.91,21.08,22.78,21.69,fist
11.734000000000002,42.4,43.25,43.7,44.58,46.23,47.84,50.07,51.07,fist
11.745999999999999,22.96,21.53,20.92,20.31,21.0,20.89,22.73,26.31,fist
11.758,-2.4,-5.23,-7.71,-9.92,-11.96,-14.24,-15.07,-14.2,fist
11.77,-40.99,-41.72,-43.59,-44.8,-46.56,-47.64,-48.68,-49.81,fist
11.78,-47.34,-45.3,-44.49,-43.19,-41.72,-39.41,-37.9,-37.31,fist
11.790999999999999,-13.55,-11.46,-9.87,-8.01,-5.88,-2.87,-0.95,-0.09,fist
11.800999999999998,14.46,15.19,15.32,16.04,16.27,17.87,18.32,17.71,fist
11.812000000000001,34.97,34.91,33.87,34.04,33.34,34.33,34.21,32.68,fist
11.822000000000001,26.29,26.32,25.72,26.34,26.52,27.81,28.46,27.81,fist
11.833,-12.05,-11.53,-10.84,-9.83,-8.56,-7.4,-6.07,-4.88,fist
11.843,-37.87,-37.44,-36.23,-35.99,-35.37,-35.9,-35.74,-34.45,fist
11.853,-32.4,-32.95,-32.63,-33.98,-35.54,-38.48,-40.61,-40.88,fist
11.863,-2.59,-4.47,-5.91,-8.7,-12.49,-17.16,-21.18,-23.59,fist
11.873,9.89,7.16,4.46,0.85,-4.1,-9.86,-14.81,-18.54,fist
11.883,0.78,-1.79,-3.91,-6.93,-10.54,-15.68,-19.44,-21.53,fist
11.894,14.13,12.3,11.97,11.01,10.69,8.84,8.38,9.43,fist
11.904000000000002,36.96,36.57,37.86,39.12,41.82,44.01,46.78,50.09,fist
11.914000000000001,39.69,41.12,43.4,46.02,50.17,54.64,58.81,63.08,fist
11.924000000000001,20.21,21.9,23.85,26.02,29.05,32.51,35.3,38.41,fist
11.934000000000001,-22.06,-21.42,-20.96,-20.36,-19.91,-19.16,-19.13,-18.85,fist
