Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
2.403 0.00 0.00 0.00 0.00
2.408 -262.30 -235.50 -223.14 -275.62
2.413 -242.90 -215.94 -203.76 -257.81
2.418 -230.36 -203.04 -191.13 -245.67
2.423 -246.27 -219.18 -207.09 -260.31
2.427 -269.36 -242.54 -229.46 -281.65
2.432 -264.47 -237.35 -224.59 -277.32
2.437 -243.77 -216.70 -204.36 -258.27
2.442 -230.58 -203.38 -191.33 -246.25
2.447 -247.63 -220.70 -208.18 -261.83
2.452 -267.86 -241.42 -227.79 -279.42
2.457 -261.94 -235.45 -222.33 -275.02
2.462 -245.18 -218.22 -205.57 -259.88
2.467 -231.30 -204.14 -192.38 -247.68
2.472 -246.27 -219.25 -206.64 -260.33
2.477 -269.54 -242.65 -229.31 -281.43
2.482 -262.34 -235.32 -222.60 -274.97
2.487 -243.03 -216.19 -203.78 -257.67
2.492 -231.43 -204.63 -192.47 -247.52
2.496 -246.96 -220.37 -207.63 -261.25
2.501 -268.65 -242.16 -229.11 -281.05
2.506 -262.66 -235.63 -222.98 -275.62
2.511 -242.72 -215.58 -203.36 -257.05
2.516 -229.93 -202.78 -190.57 -245.62
2.521 -248.24 -220.81 -208.72 -261.94
2.526 -269.99 -243.12 -230.54 -281.99
2.531 -261.67 -235.30 -222.15 -274.19
2.536 -244.35 -217.46 -204.94 -258.86
2.541 -230.87 -203.91 -192.38 -247.17
2.546 -242.72 -215.58 -203.36 -257.05
2.550 -229.93 -202.78 -190.57 -245.62
2.553 -248.24 -220.81 -208.72 -261.94
2.557 -269.99 -243.12 -230.54 -281.99
2.561 -261.67 -235.30 -222.15 -274.19
2.565 -244.35 -217.46 -204.94 -258.86
2.569 -230.87 -203.91 -192.38 -247.17
2.573 -247.32 -220.54 -208.30 -261.78
2.577 -267.93 -241.64 -228.28 -279.87
2.580 -263.21 -236.84 -223.79 -275.93
2.584 -245.91 -219.05 -206.62 -260.78
2.588 -230.13 -203.40 -191.04 -246.34
2.592 -246.03 -219.49 -206.84 -260.26
2.596 -268.65 -241.76 -228.93 -281.36
2.600 -262.16 -234.85 -222.51 -274.64
2.604 -242.16 -214.96 -202.86 -256.37
2.607 -230.87 -204.54 -192.43 -247.34
2.611 -246.92 -220.41 -207.60 -261.22
2.615 -269.96 -242.83 -229.93 -282.17
2.619 -262.07 -234.63 -222.18 -274.73
2.623 -243.75 -216.61 -204.70 -258.36
2.627 -228.57 -201.55 -189.92 -244.73
2.631 -246.45 -219.63 -207.18 -260.69
2.634 -270.25 -243.57 -230.54 -282.39
2.638 -261.92 -235.03 -222.51 -275.06
2.642 -242.32 -215.45 -203.02 -257.20
2.646 -230.54 -203.91 -191.62 -246.70
2.650 -248.82 -222.11 -210.02 -263.59
2.654 -271.10 -244.51 -231.47 -283.55
2.657 -263.84 -237.17 -224.30 -276.69
2.661 -241.94 -214.87 -202.44 -256.29
2.665 -229.02 -201.99 -189.81 -244.55
2.669 -247.77 -221.24 -208.18 -262.21
2.673 -270.32 -243.66 -230.29 -282.46
2.677 -262.07 -235.21 -222.67 -275.17
2.681 -242.52 -215.63 -203.42 -256.98
2.684 -231.88 -205.21 -193.10 -248.10
2.688 -243.14 -216.50 -204.43 -258.21
2.692 -230.29 -203.49 -191.80 -246.58
2.696 -247.19 -220.32 -207.67 -260.96
2.700 -270.19 -243.30 -230.16 -281.92
2.704 -263.55 -236.62 -223.79 -276.47
2.708 -244.28 -217.35 -205.05 -258.79
2.712 -230.98 -204.27 -191.98 -246.52
2.717 -246.92 -220.23 -208.01 -261.31
2.721 -266.68 -239.95 -226.89 -278.70
2.725 -263.35 -236.73 -223.72 -276.02
2.729 -242.85 -216.30 -203.83 -257.76
2.733 -229.69 -202.98 -191.09 -245.58
2.737 -248.22 -221.48 -209.30 -263.19
2.741 -270.52 -244.06 -231.05 -283.46
2.745 -261.90 -234.92 -222.11 -274.52
2.749 -241.69 -214.49 -202.73 -256.53
2.753 -229.35 -202.44 -190.71 -245.87
2.757 -246.25 -219.74 -206.78 -259.95
2.761 -269.92 -243.52 -230.18 -281.74
2.765 -264.13 -237.40 -224.66 -277.14
2.769 -243.25 -216.52 -204.27 -258.23
2.773 -230.83 -204.36 -192.11 -246.79
2.777 -248.69 -221.89 -209.84 -263.50
2.781 -271.86 -245.11 -232.28 -284.45
2.785 -261.45 -234.87 -221.91 -274.05
2.789 -241.60 -214.60 -202.46 -256.29
2.793 -229.31 -202.78 -190.39 -244.98
2.797 -246.76 -220.23 -207.16 -260.60
2.801 -270.28 -243.54 -230.42 -282.55
2.805 -262.32 -235.48 -222.89 -275.17
2.809 -244.89 -218.13 -205.68 -259.37
2.813 -230.42 -203.78 -191.47 -246.52
2.817 -245.62 -219.25 -206.33 -260.20
2.821 -271.26 -244.84 -231.27 -283.40
2.825 -263.15 -235.86 -223.32 -275.89
2.829 -243.01 -215.87 -203.45 -257.07
2.833 -229.26 -202.78 -190.48 -245.31
2.837 -244.89 -218.13 -205.68 -259.37
2.841 -230.42 -203.78 -191.47 -246.52
2.845 -245.62 -219.25 -206.33 -260.20
2.849 -271.26 -244.84 -231.27 -283.40
2.853 -263.15 -235.86 -223.32 -275.89
2.857 -243.01 -215.87 -203.45 -257.07
2.862 -229.26 -202.78 -190.48 -245.31
2.866 -246.25 -219.47 -206.84 -260.44
2.870 -268.47 -241.80 -228.41 -280.18
2.874 -264.58 -237.93 -225.06 -277.45
2.878 -244.57 -217.62 -205.57 -259.77
2.882 -228.14 -201.39 -189.68 -244.44
2.886 -247.57 -220.88 -208.56 -262.16
2.890 -271.33 -244.66 -231.43 -283.02
2.894 -263.21 -236.50 -223.88 -276.16
2.898 -245.22 -218.35 -205.95 -260.13
2.902 -230.65 -203.42 -190.97 -245.71
2.906 -244.46 -217.71 -204.72 -258.48
2.910 -269.16 -242.58 -229.33 -281.68
2.914 -264.62 -237.51 -224.79 -277.12
2.918 -243.77 -216.61 -204.43 -257.74
2.922 -229.73 -202.37 -190.50 -244.89
2.926 -247.75 -220.63 -208.25 -261.72
2.930 -272.00 -244.95 -231.97 -283.58
2.934 -262.36 -235.39 -222.78 -274.64
2.939 -240.17 -213.17 -201.88 -256.08
2.943 -229.49 -202.42 -190.97 -245.82
2.947 -246.83 -220.10 -207.45 -260.89
2.951 -271.82 -245.00 -231.97 -283.91
2.955 -262.21 -235.27 -223.07 -275.24
2.959 -242.78 -215.94 -204.12 -257.38
2.963 -231.85 -205.70 -193.79 -248.26
2.967 -246.83 -219.92 -207.54 -261.07
2.971 -270.66 -243.30 -230.54 -282.30
2.975 -262.32 -235.03 -222.78 -275.11
2.979 -242.63 -215.56 -203.22 -256.80
2.983 -230.80 -203.89 -191.31 -246.47
2.987 -241.13 -214.44 -202.04 -255.53
3.009 -231.65 -205.10 -193.30 -248.35
3.030 -247.57 -221.04 -208.43 -261.49
